x,y
3.7732615,9.824001
8.74407,7.646942
5.823537,10.384569
8.874887,6.690618
7.400819,12.727083
8.299584,6.8910165
5.9677677,8.231352
8.836232,6.206952
7.6736765,12.901341
7.8102913,7.459204
6.999408,8.772961
2.2676375,9.581293
5.928917,10.097774
6.757989,12.271604
7.7235503,13.191208
2.5985017,9.686484
7.2220626,9.070697
7.1723557,13.376801
7.520675,8.811241
7.6334567,10.789811
5.4286313,8.690753
5.064147,10.25729
8.858657,7.5574403
8.846266,6.320469
5.8341637,9.945348
8.44764,8.992797
4.222777,12.348752
8.609666,6.607211
8.544898,9.174515
5.3275642,10.274051
6.3377204,13.127384
7.8934197,8.530207
6.768905,13.561918
8.265845,8.202745
7.7769675,11.001146
6.9299297,9.072535
7.429351,12.652295
6.433983,12.637899
6.6512184,10.160818
7.932284,8.030683
7.278233,8.70589
6.362553,12.815942
4.5370035,10.049101
2.29353,9.442144
6.5006285,12.869463
8.443444,9.759252
7.1680303,12.458415
6.032289,9.048564
7.593121,11.074458
2.9366388,11.861658
4.026439,12.366475
5.2802663,10.053936
7.806635,7.4922814
5.154656,9.102534
6.520215,13.196906
-0.08184459,8.4770775
6.633064,12.588464
7.017748,13.20089
7.8500776,13.492159
3.258746,11.14512
4.5990834,9.687536
7.8136306,12.739235
3.7184134,11.157155
8.154514,8.044656
8.627743,5.8876753
7.3964105,9.770744
7.8504047,9.14186
3.1106784,11.7476225
7.950266,8.494355
8.326082,7.0954947
5.4221044,9.811626
1.3198627,10.682875
7.887841,10.682414
6.4378977,13.265853
8.688013,7.04454
8.937032,5.8407893
6.0338593,9.448208
7.7740817,9.531157
0.053063113,8.613081
8.252977,8.868668
2.4353046,9.521042
2.9240494,9.571345
8.067437,9.257892
4.816335,10.067259
4.035935,12.132938
7.2046514,8.639903
0.6009023,9.111096
3.9041936,12.333466
8.372956,9.660972
6.723755,13.614134
7.2628245,11.597437
8.098176,12.832553
8.723897,8.856779
8.478299,8.043716
4.037784,11.774367
6.880772,13.624763
7.8018546,13.308715
4.6912746,9.008016
2.8364844,11.276607
7.941322,7.9607005
